,date,close,high,low,open,volume,adjclose,changes,compound,sentiment_type
62,2023-03-04,22405,22199,22363,22353,11166012913,22353,negative,-0.2498,NEGATIVE
63,2023-03-05,22614,22307,22354,22436,13317001733,22436,positive,0.1779,POSITIVE
64,2023-03-06,22584,22331,22437,22430,17353192895,22430,negative,0.8176,POSITIVE
65,2023-03-07,22527,22011,22428,22220,22765452204,22220,negative,0.5267,POSITIVE
66,2023-03-08,22269,21708,22216,21718,22536575684,21718,negative,0.5719,POSITIVE
67,2023-03-09,21803,20210,21720,20363,30364664171,20363,negative,0.8176,POSITIVE
68,2023-03-10,20371,19628,20367,20187,39578257695,20187,negative,0.9108,POSITIVE
69,2023-03-11,20793,20069,20188,20632,30180288176,20632,positive,0.7362,POSITIVE
70,2023-03-12,22185,20449,20628,22164,29279035521,22164,positive,0.7089,POSITIVE
71,2023-03-13,24551,21918,22156,24198,49466362688,24198,positive,0.9449,POSITIVE
72,2023-03-14,26515,24081,24202,24746,54622230164,24746,positive,0.0,NEUTRAL
73,2023-03-15,25241,23965,24771,24376,43655701450,24376,negative,0.7783,POSITIVE
74,2023-03-16,25190,24225,24373,25053,33866061747,25053,negative,0.7717,POSITIVE
75,2023-03-17,27788,24955,25055,27424,50730261335,27424,positive,0.4588,POSITIVE
76,2023-03-18,27726,26636,27448,26966,35723036817,26966,negative,0.8834,POSITIVE
77,2023-03-19,28441,26908,26970,28039,37769448859,28039,positive,0.8016,POSITIVE
78,2023-03-20,28528,27243,28042,27767,44774027664,27767,positive,0.8591,POSITIVE
79,2023-03-21,28440,27440,27768,28176,36102192830,28176,negative,0.9147,POSITIVE
80,2023-03-22,28803,26760,28159,27307,33382021890,27307,positive,0.9607,POSITIVE
81,2023-03-23,28730,27183,27302,28334,24220433689,28334,negative,0.5859,POSITIVE
82,2023-03-24,28388,27039,28324,27493,25980310960,27493,negative,0.4215,POSITIVE
83,2023-03-25,27792,27196,27487,27495,13383005987,27495,negative,0.0,NEUTRAL
84,2023-03-26,28178,27445,27496,27994,13878363192,27994,positive,0.8316,POSITIVE
85,2023-03-27,28038,26607,27994,27140,18188895178,27140,negative,0.7479,POSITIVE
86,2023-03-28,27461,26678,27133,27268,17783600385,27268,negative,0.4019,POSITIVE
87,2023-03-29,28620,27260,27267,28348,20684945906,28348,positive,0.8658,POSITIVE
88,2023-03-30,29160,27720,28350,28034,22435349951,28034,positive,0.7906,POSITIVE
89,2023-03-31,28640,27584,28032,28478,19001327598,28478,negative,0.8636,POSITIVE
90,2023-04-01,28802,28297,28473,28411,10876469901,28411,positive,0.9022,POSITIVE
91,2023-04-02,28519,27884,28463,28199,12284641999,28199,negative,0.5719,POSITIVE
92,2023-04-03,28476,27277,28183,27790,19556501327,27790,negative,0.4939,POSITIVE
93,2023-04-04,28434,27681,27795,28168,15284538859,28168,negative,0.5399,POSITIVE
94,2023-04-05,28739,27844,28170,28178,17052315986,28178,positive,0.4767,POSITIVE
95,2023-04-06,28178,27739,28175,28044,13837809380,28044,negative,0.7717,POSITIVE
96,2023-04-07,28112,27794,28039,27926,10861680497,27926,negative,0.7003,POSITIVE
97,2023-04-08,28160,27883,27921,27948,9373255556,27948,positive,0.7269,POSITIVE
98,2023-04-09,28533,27828,27952,28333,12175322951,28333,positive,0.5859,POSITIVE
99,2023-04-10,29771,28189,28336,29653,19282400094,29653,positive,0.7753,POSITIVE
100,2023-04-11,30509,29609,29654,30235,20121259843,30235,positive,0.6124,POSITIVE
101,2023-04-12,30462,29726,30232,30139,18651929926,30139,negative,0.5994,POSITIVE
102,2023-04-13,30540,29879,29893,30399,17487721001,30399,positive,0.836,POSITIVE
103,2023-04-14,31006,30044,30410,30486,22659995079,30486,positive,0.8481,POSITIVE
104,2023-04-15,30602,30246,30491,30318,11940685378,30318,negative,0.5859,POSITIVE
105,2023-04-16,30556,30158,30316,30315,12854816417,30315,negative,0.9062,POSITIVE
106,2023-04-17,30319,29275,30317,29445,17872186762,29445,negative,0.872,POSITIVE
107,2023-04-18,30470,29155,29449,30398,19480529496,30398,positive,0.8583,POSITIVE
108,2023-04-19,30411,28670,30394,28823,24571565421,28823,negative,0.7149,POSITIVE
109,2023-04-20,29076,28037,28824,28246,21340360360,28246,negative,0.7149,POSITIVE
110,2023-04-21,28350,27177,28249,27277,20759504330,27277,negative,0.9201,POSITIVE
111,2023-04-22,27872,27170,27266,27818,13125734602,27818,negative,0.8836,POSITIVE
112,2023-04-23,27820,27400,27816,27591,12785446832,27591,negative,0.5413,POSITIVE
113,2023-04-24,27980,27071,27592,27525,17703288330,27525,positive,0.6996,POSITIVE
114,2023-04-25,28371,27208,27515,28308,17733373139,28308,positive,0.8834,POSITIVE
115,2023-04-26,29996,27325,28300,28423,31854242019,28423,positive,0.2023,POSITIVE
116,2023-04-27,29872,28403,28428,29474,27153445027,29474,negative,0.4215,POSITIVE
117,2023-04-28,29573,28930,29481,29340,17544464887,29340,negative,0.69,POSITIVE
118,2023-04-29,29452,29088,29337,29248,10662634333,29248,negative,0.5423,POSITIVE
119,2023-04-30,29952,29114,29246,29269,14652199272,29269,positive,0.5574,POSITIVE
120,2023-05-01,29330,27681,29227,28092,18655599976,28092,negative,0.8999,POSITIVE
121,2023-05-02,28881,27924,28087,28681,16432924527,28681,negative,0.7351,POSITIVE
122,2023-05-03,29260,28178,28680,29006,19122972518,29006,positive,0.5719,POSITIVE
123,2023-05-04,29353,28694,29031,28848,15548678514,28848,positive,0.7845,POSITIVE
124,2023-05-05,29669,28846,28851,29534,17936566518,29534,positive,0.8126,POSITIVE
125,2023-05-06,29820,28469,29539,28905,15913866714,28905,positive,0.1326,POSITIVE
126,2023-05-07,29158,28441,28902,28455,11301355486,28455,negative,0.508,POSITIVE
127,2023-05-08,28663,27310,28450,27694,19122903752,27694,negative,0.5337,POSITIVE
128,2023-05-09,27821,27376,27695,27659,14128593256,27659,negative,0.9229,POSITIVE
129,2023-05-10,28323,26884,27655,27622,20656025026,27622,positive,0.7964,POSITIVE
130,2023-05-11,27622,26782,27621,27001,16724343943,27001,negative,0.69,POSITIVE
131,2023-05-12,27056,25878,26988,26805,19313599897,26805,negative,0.915,POSITIVE
132,2023-05-13,27030,26711,26808,26784,9999171605,26784,negative,0.7916,POSITIVE
133,2023-05-14,27151,26661,26789,26931,10014858959,26931,positive,0.944,POSITIVE
134,2023-05-15,27646,26766,26931,27193,14413231792,27193,positive,0.6114,POSITIVE
135,2023-05-16,27299,26879,27172,27037,12732238816,27037,negative,0.8356,POSITIVE
136,2023-05-17,27466,26600,27035,27399,15140006925,27399,positive,0.8544,POSITIVE
137,2023-05-18,27467,26415,27402,26832,15222938600,26832,positive,0.9312,POSITIVE
138,2023-05-19,27129,26700,26827,26890,11258983301,26890,negative,0.802,POSITIVE
139,2023-05-20,27155,26843,26889,27130,7044911360,27130,positive,0.9244,POSITIVE
140,2023-05-21,27266,26707,27118,26754,8647416921,26754,positive,0.765,POSITIVE
141,2023-05-22,27046,26550,26750,26851,11056770492,26851,negative,0.6705,POSITIVE
142,2023-05-23,27435,26816,26856,27226,13697203143,27226,positive,0.8555,POSITIVE
143,2023-05-24,27225,26107,27225,26335,16299104428,26335,negative,0.9596,POSITIVE
144,2023-05-25,26592,25891,26329,26476,13851122697,26476,negative,0.9001,POSITIVE
145,2023-05-26,26917,26344,26474,26719,12711619225,26719,positive,0.8225,POSITIVE
146,2023-05-27,26889,26621,26720,26868,7892015141,26868,negative,0.891,POSITIVE
147,2023-05-28,28193,26803,26871,28086,14545229578,28086,positive,0.8805,POSITIVE
148,2023-05-29,28432,27564,28076,27746,15181308984,27746,positive,0.9306,POSITIVE
149,2023-05-30,28045,27589,27745,27702,13251081851,27702,negative,0.9243,POSITIVE
150,2023-05-31,27832,26866,27701,27220,15656371534,27220,negative,0.7996,POSITIVE
151,2023-06-01,27346,26672,27218,26820,14678970415,26820,negative,0.9342,POSITIVE
152,2023-06-02,27304,26575,26825,27250,14837415000,27250,negative,0.908,POSITIVE
153,2023-06-03,27317,26958,27252,27075,8385597470,27075,positive,0.9475,POSITIVE
154,2023-06-04,27407,26968,27075,27119,9360912318,27119,positive,0.9527,POSITIVE
155,2023-06-05,27130,25445,27123,25760,21513292646,25760,negative,0.9299,POSITIVE
156,2023-06-06,27314,25435,25732,27239,21929670693,27239,positive,0.8885,POSITIVE
157,2023-06-07,27332,26147,27236,26346,19530045082,26346,positive,0.902,POSITIVE
158,2023-06-08,26798,26247,26348,26508,11904824295,26508,negative,0.7859,POSITIVE
159,2023-06-09,26770,26339,26506,26480,11015551640,26480,negative,0.9168,POSITIVE
160,2023-06-10,26531,25502,26482,25851,19872933189,25851,negative,0.7643,POSITIVE
161,2023-06-11,26203,25669,25854,25940,10732609603,25940,negative,0.9059,POSITIVE
162,2023-06-12,26088,25675,25934,25902,11677889997,25902,negative,0.8513,POSITIVE
