,date,close,high,low,open,volume,adjclose,changes,compound,sentiment_type
121,5/2/2023,1880,1824,1832,1871,7536785767,1871,negative,0.826,POSITIVE
122,5/3/2023,1916,1846,1871,1905,8306390869,1905,positive,0.7906,POSITIVE
123,5/4/2023,1916,1869,1905,1878,6578438233,1878,negative,0.7845,POSITIVE
124,5/5/2023,1998,1877,1878,1995,9498261360,1995,positive,0.5574,POSITIVE
125,5/6/2023,2018,1871,1995,1900,9623243037,1900,positive,0.2023,POSITIVE
126,5/7/2023,1934,1873,1900,1873,6883942236,1873,negative,0.8126,POSITIVE
127,5/8/2023,1886,1818,1872,1849,9895102899,1849,negative,0.5242,POSITIVE
128,5/9/2023,1861,1833,1849,1849,6129516088,1849,negative,0.2732,POSITIVE
129,5/10/2023,1887,1796,1848,1842,9945549603,1842,positive,0.6114,POSITIVE
130,5/11/2023,1842,1774,1842,1796,8353828312,1796,negative,0.68,POSITIVE
131,5/12/2023,1812,1742,1795,1808,9047198660,1808,negative,0.3182,POSITIVE
132,5/13/2023,1816,1788,1808,1796,4647630864,1796,positive,0.5216,POSITIVE
133,5/14/2023,1823,1793,1796,1801,4711210241,1801,positive,0.7184,POSITIVE
134,5/15/2023,1846,1788,1800,1818,6748889346,1818,positive,0.5956,POSITIVE
135,5/16/2023,1830,1798,1817,1824,5595959668,1824,negative,0.8402,POSITIVE
136,5/17/2023,1836,1787,1824,1822,6352161579,1822,positive,0.6369,POSITIVE
137,5/18/2023,1831,1774,1822,1802,5673124255,1802,negative,0.6331,POSITIVE
138,5/19/2023,1826,1797,1801,1813,4796110259,1813,negative,0.802,POSITIVE
139,5/20/2023,1829,1808,1813,1820,2951655969,1820,positive,0.34,POSITIVE
140,5/21/2023,1828,1800,1820,1805,3386768865,1805,negative,0.765,POSITIVE
141,5/22/2023,1827,1793,1805,1818,4534841049,1818,negative,0.7506,POSITIVE
142,5/23/2023,1869,1816,1818,1854,6820047160,1854,positive,0.777,POSITIVE
143,5/24/2023,1854,1781,1854,1800,7101647419,1800,negative,0.6124,POSITIVE
144,5/25/2023,1816,1763,1800,1806,6321689859,1806,negative,0.743,POSITIVE
145,5/26/2023,1838,1798,1806,1829,5451414258,1829,positive,0.8617,POSITIVE
146,5/27/2023,1836,1817,1829,1831,3216737652,1831,negative,0.8155,POSITIVE
147,5/28/2023,1916,1825,1831,1911,6359610561,1911,positive,0.8805,POSITIVE
148,5/29/2023,1926,1879,1909,1893,5884674572,1893,positive,0.8289,POSITIVE
149,5/30/2023,1917,1884,1893,1901,5363439784,1901,negative,0.9042,POSITIVE
150,5/31/2023,1907,1852,1901,1874,5984512548,1874,negative,0.5719,POSITIVE
151,6/1/2023,1888,1846,1874,1862,5640027197,1862,negative,0.8687,POSITIVE
152,6/2/2023,1910,1852,1862,1907,6097746022,1907,positive,0.8684,POSITIVE
153,6/3/2023,1909,1885,1907,1892,3472274607,1892,negative,0.9475,POSITIVE
154,6/4/2023,1912,1886,1892,1891,3747042696,1891,positive,0.9527,POSITIVE
155,6/5/2023,1891,1780,1890,1812,9246593033,1812,negative,0.9299,POSITIVE
156,6/6/2023,1896,1801,1811,1884,8704411776,1884,positive,0.8885,POSITIVE
157,6/7/2023,1894,1822,1884,1832,7919894455,1832,negative,0.9346,POSITIVE
158,6/8/2023,1861,1830,1833,1846,4536041931,1846,negative,0.7859,POSITIVE
159,6/9/2023,1855,1829,1846,1840,4610831509,1840,negative,0.9168,POSITIVE
160,6/10/2023,1845,1721,1840,1752,10788500406,1752,negative,0.7643,POSITIVE
161,6/11/2023,1777,1741,1753,1753,4559112981,1753,negative,0.9059,POSITIVE
162,6/12/2023,1758,1723,1753,1743,6031384958,1743,negative,0.8513,POSITIVE
