,close,high,low,open,volume,adjclose,date,changes,compound,sentiment_type
125,329,321,327,323,494274153,323,2023-05-06,neutral,0.3612,POSITIVE
126,326,322,323,322,437921018,322,2023-05-07,negative,0.3382,POSITIVE
127,322,312,321,314,636404503,314,2023-05-08,negative,0.6597,POSITIVE
128,316,312,314,313,461175016,313,2023-05-09,negative,0.7424,POSITIVE
129,317,309,312,315,545212280,315,2023-05-10,positive,0.6114,POSITIVE
130,315,305,315,308,484941644,308,2023-05-11,negative,0.68,POSITIVE
131,309,302,308,309,509746023,309,2023-05-12,negative,0.7845,POSITIVE
132,312,308,309,311,385073781,311,2023-05-13,positive,0.9313,POSITIVE
133,315,310,311,312,404468149,312,2023-05-14,positive,,
134,316,311,312,314,432273711,314,2023-05-15,positive,0.7269,POSITIVE
135,314,310,314,311,402988974,311,2023-05-16,negative,0.9298,POSITIVE
136,314,308,311,314,437721579,314,2023-05-17,neutral,0.5994,POSITIVE
137,315,307,314,309,383049498,309,2023-05-18,positive,0.7488,POSITIVE
138,311,308,309,309,334636708,309,2023-05-19,negative,0.34,POSITIVE
139,312,308,309,311,277393160,311,2023-05-20,positive,0.0,NEUTRAL
140,312,306,311,307,302803530,307,2023-05-21,neutral,0.5378,POSITIVE
141,311,305,307,309,355156561,309,2023-05-22,negative,0.6114,POSITIVE
142,315,309,309,314,361568579,314,2023-05-23,positive,0.9298,POSITIVE
143,314,304,314,306,418835791,306,2023-05-24,negative,0.8825,POSITIVE
144,307,303,306,305,401117895,305,2023-05-25,negative,0.7343,POSITIVE
145,308,302,305,307,475658791,307,2023-05-26,positive,0.7339,POSITIVE
146,308,304,307,308,331579600,308,2023-05-27,neutral,0.8889,POSITIVE
147,314,307,308,314,405623337,314,2023-05-28,positive,0.2023,POSITIVE
148,317,311,314,312,543284868,312,2023-05-29,positive,0.6705,POSITIVE
149,314,311,312,312,392038878,312,2023-05-30,negative,0.7633,POSITIVE
150,312,305,312,307,474410245,307,2023-05-31,negative,0.8264,POSITIVE
151,308,304,307,305,354897855,305,2023-06-01,negative,0.92,POSITIVE
152,308,304,305,307,382256220,307,2023-06-02,neutral,0.9358,POSITIVE
153,308,306,307,307,260995871,307,2023-06-03,neutral,0.9475,POSITIVE
154,308,305,307,305,273449324,305,2023-06-04,neutral,0.9527,POSITIVE
155,305,273,305,277,928515688,277,2023-06-05,negative,0.8696,POSITIVE
156,286,274,277,281,691784529,281,2023-06-06,negative,0.8885,POSITIVE
157,281,256,281,259,958739195,259,2023-06-07,negative,0.8264,POSITIVE
158,267,258,259,262,562863852,262,2023-06-08,negative,0.937,POSITIVE
159,264,257,262,261,491429998,261,2023-06-09,negative,0.9168,POSITIVE
160,261,233,261,239,1068424942,239,2023-06-10,negative,0.7643,POSITIVE
161,239,234,239,235,376213808,235,2023-06-11,negative,0.9059,POSITIVE
162,238,222,235,231,1014433334,231,2023-06-12,negative,0.8513,POSITIVE
